brood_year,RelSite,adult_origin,CWT code,rel loc,F,M,jack
2020,BCA1,SR,220291,Abv,126.9788482,36.9066309,0
2020,BCA2,SR,220292,Abv,36.9066309,11.63337211,0
2020,CJA1,SR,220289,Abv,78.49311593,75.98258854,0
2020,CJA2,SR,220290,Abv,11.57910139,11.57910139,0
2020,GRR,SR,637941,Abv,25.32752951,25.32752951,0
2020,IPCSR,SR,91579,Abv,184.5331545,88.26158871,0
2020,LFSO,SR,637940,blw,164.415568,50.22693668,0
2020,LFYO,SR,637944,blw,182.2159471,52.62557553,0
2020,PLA1,SR,220293,Abv,64.40348715,13.74842813,0
2020,PLA2,SR,220294,Abv,50.99625968,0,0
2021,BCA1,SR,220407,Abv,410.9571285,123.6794266,0
2021,BCA2,SR,220408,Abv,132.5814845,37.43035737,0
2021,CJA1,SR,220405,Abv,541.3340188,218.8236329,0
2021,CJA2,SR,220406,Abv,238.1580544,37.37608665,0
2021,IPCSR,SR,92064,Abv,747.2338464,327.8862463,0
2021,LFSO,SR,638056,blw,460.6188727,189.5357376,0
2021,LFYO,SR,638417,blw,596.5720014,366.8930409,7.116334557
2021,PLA1,SR,220403,Abv,347.9502173,177.4146573,0
2021,PLA2,SR,220404,Abv,253.234123,122.813109,0
2022,BCA1,SR,220039,Abv,345.9399675,867.5236495,0
2022,BCA2,SR,220036,Abv,81.88584856,151.6356694,0
2022,CJA1,SR,220034,Abv,330.6758578,653.2819291,12.34504511
2022,CJA2,SR,220035,Abv,152.6891401,229.7374384,12.34504511
2022,GRR,SR,638057,Abv,120.8270656,309.8930856,0
2022,IPCSR,SR,90011,Abv,1082.616421,1591.72729,24.69009022
2022,LFSO,SR,220038,blw,496.4507592,776.8646943,0
2022,LFYO,SR,638078,blw,15.88154312,79.00828871,44.51452766
2022,PLA1,SR,220037,Abv,270.4518957,668.7421711,0
2022,PLA2,SR,220037,Abv,99.50664026,321.6167065,0
2023,BCA1,SR,220049,Abv,0,0,49.30298352
2023,BCA2,SR,220050,Abv,0,11.64782986,80.46446919
2023,CJA1,SR,220051,Abv,0,28.20687429,197.3148332
2023,CJA2,SR,220052,Abv,0,11.64782986,43.48723155
2023,GRR,SR,638511,Abv,0,0,36.97723764
2023,IPCSR,SR,0,Abv,0,93.18263886,360.7393987
2023,LFSO,SR,638509,blw,0,0,341.7013016
2023,LFYO,SR,0,blw,0,0,14.29786522
2023,PLA1,SR,220047,Abv,0,15.46823978,129.1761099
2023,PLA2,SR,220048,Abv,0,0,14.92427211
2020,CFA,SR,220278,Abv,14.01303167,0,0
2020,LGA,SR,220279,Abv,85.44637833,14.01303167,0
2020,NLVA,SR,220280,Abv,62.91704639,28.32935282,0
2020,NPTH,SR,220274,Abv,176.3894881,60.5343424,0
2021,CFA,SR,220287,Abv,37.00203484,37.30532431,0
2021,LGA,SR,220288,Abv,181.4136018,76.57880608,0
2021,NA,SR,0,Abv,0,0,0
2021,NLVA,SR,220286,Abv,176.2227137,63.20237272,0
2021,NPTH,SR,220285,Abv,83.48338619,112.0559527,0
2022,CFA,SR,220414,Abv,37.99836845,49.9953141,0
2022,LGA,SR,220415,Abv,63.36210103,60.33588514,0
2022,NLVA,SR,220413,Abv,81.51915652,278.4613949,0
2022,NPTH,SR,220412,Abv,0,23.24793519,0
2023,CFA,SR,0,Abv,0,0,12.36226024
2020,LWSH,stray,0,blw,39.1784727,7.872449314,0
2020,RSFH,stray,0,blw,15.87508225,23.84937815,0
2020,UMFH,stray,0,blw,0,8.019074008,0
2021,LWSH,stray,0,blw,141.4823057,204.4347328,0
2021,PRFH,stray,0,blw,92.88689594,76.08350102,0
2021,RSFH,stray,0,blw,41.17456177,16.51307815,0
2021,UMFH,stray,0,blw,48.88095676,16.29365225,0
2022,LWSH,stray,0,blw,39.52476494,227.9642508,0
2022,PRFH,stray,0,blw,47.38884025,133.4478792,14.22398018
2022,Prosser,stray,0,blw,0,7.985483398,0
2022,RSFH,stray,0,blw,0,27.55889161,0
2023,LWSH,stray,0,blw,0,0,7.101327775
2023,UMFH,stray,0,blw,0,0,14.18964041
