Population,Individual,LGRScaleGeneticsIDLink,DateSampled,PhenotypicSex,FL mm,Clip,Wire,PIT tag,GenComments,GenSex,GenPa,GenMa,PopName,agePBT,GSIRepUnit,RepUnitProb,Final group,rel abv/blw LGR
OtsLGRF25S,OtsLGRF25S_0001,C-00001,8/18/2025,M,770,AI,NA,3DD.0078ED67A5,NA,M,OtsLYON21S_1_0757,OtsLYON21S_1_0395,OtsLYON21S_1,4,FALL,1,CJA1,Abv
OtsLGRF25S,OtsLGRF25S_0011,C-00011,8/18/2025,M,970,AI,NA,3DD.0078ED67A1,NA,M,NA,NA,Unassigned,NA,FALL,1,NA,Abv
OtsLGRF25S,OtsLGRF25S_0021,C-00021,8/18/2025,F,750,AD,1,3DD.0078ED6779,NA,F,OtsLYON21S_1_0899,OtsLYON21S_1_1909,OtsLYON21S_1,4,FALL,1,PLA2,Abv
OtsLGRF25S,OtsLGRF25S_0031,C-00031,8/18/2025,F,890,AI,NA,3DD.0078ED6772,NA,F,OtsNPFH20S_1_0066,OtsNPFH20S_1_0008,OtsNPFH20S_1,5,FALL,1,NPTH,Abv
OtsLGRF25S,OtsLGRF25S_0041,C-00041,8/18/2025,M,630,AI,NA,NA,NA,M,OtsNPFH22S_1_0650,OtsNPFH22S_1_0597,OtsNPFH22S_1,3,FALL,1,NLVA,Abv
OtsLGRF25S,OtsLGRF25S_0051,C-00051,8/18/2025,F,800,AI,NA,3DD.0078ED679F,NA,F,NA,NA,Unassigned,NA,FALL,1,NA,Abv
OtsLGRF25S,OtsLGRF25S_0061,C-00061,8/18/2025,M,620,AD,1,NA,NA,M,OtsLYON22S_1_0038,OtsLYON22S_1_2034,OtsLYON22S_1,3,FALL,1,PLA1,Abv
OtsLGRF25S,OtsLGRF25S_0071,C-00071,8/18/2025,M,530,AD,1,NA,NA,M,OtsLYON23S_1_0010,OtsLYON23S_1_1028,OtsLYON23S_1,2,FALL,1,PLA1,Abv
OtsLGRF25S,OtsLGRF25S_0081,C-00081,8/18/2025,M,750,AD,NA,3DD.0078ED6763,NA,M,OtsLYON22S_1_0533,OtsLYON22S_1_4357,OtsLYON22S_1,3,FALL,1,GRR,Abv
OtsLGRF25S,OtsLGRF25S_0091,C-00091,8/18/2025,M,620,AI,NA,NA,NA,M,NA,NA,Unassigned,NA,FALL,1,NA,Abv
