year,DART window counts,night passage expansion,total Chinook in sample,# summer Chnk in sample,
2000,10824,0.020,,,
2001,17749,0.020,,,
2002,18076,0.020,,,
2003,20213,0.020,,,
2004,22560,0.020,,,
2005,14430,0.020,1776,18,
2006,14769,0.024,1938,16,
2007,19979,0.032,3828,26,
2008,26856,0.023,4818,34,
2009,56452,0.016,6186,20,
2010,54710,0.015,7223,25,
2011,44904,0.032,5536,29,
2012,56678,0.018,9870,1,
2013,78960,0.02,,,
2014,80175,0.005,7917,80,
2015,70826,0.0067,8988,115,
2016,47080,0.0174,9316,21,
2017,33126,0.00682,7771,17,
2018,21898,0.02,6535,0,
2019,21790,0.015,6735,4,
2020,36001,0.01,9885,21,
2021,41415,0.00506,9248,54,
2022,54950,0.0082,11195,U,
2023,52418,0.00616,,,
2024,41309,,35113,6196,
2025,31449,,,,
