Pedigree,Hatchery,Broodyear,Tag Rate
OtsLYON12S_1,Lyons Ferry,2012,0.9852
OtsLYON13S_1,Lyons Ferry,2013,0.9240
OtsLYON14S_1,Lyons Ferry,2014,0.9700
OtsLYON15S_1,Lyons Ferry,2015,0.9300
OtsLYON16S_1,Lyons Ferry,2016,0.9435
OtsLYON17S_1,Lyons Ferry,2017,0.7617
OtsLYON18S_1,Lyons Ferry,2018,0.8055
OtsLYON19S_1,Lyons Ferry,2019,0.9597
OtsLYON20S_1,Lyons Ferry,2020,0.9896
OtsLYON21S_1,Lyons Ferry,2021,0.9814
OtsLYON22S_1,Lyons Ferry,2022,0.9456
OtsLYON23S_1,Lyons Ferry,2023,0.9545
OtsNPFH12S_1,Nez Perce,2012,0.9751
OtsNPFH13S_1,Nez Perce,2013,0.9910
OtsNPFH14S_1,Nez Perce,2014,0.9800
OtsNPFH15S_1,Nez Perce,2015,0.9660
OtsNPFH16S_1,Nez Perce,2016,0.9726
OtsNPFH17S_1,Nez Perce,2017,0.9882
OtsNPFH18S_1,Nez Perce,2018,0.9683
OtsNPFH19S_1,Nez Perce,2019,0.9971
OtsNPFH20S_1,Nez Perce,2020,0.9632
OtsNPFH21S_1,Nez Perce,2021,0.9826
OtsNPFH22S_1,Nez Perce,2022,0.9803
OtsNPFH23S_1,Nez Perce,2023,0.9378
OtsPBT19-KlickFa,Klickitat Hatchery,2019,0.56498
OtsPBT17-LWSFa,Little White Salmon,2017,0.9595
OtsPBT19-LWSFa,Little White Salmon,2019,1.0000
OtsPBT20-LWSFa,Little White Salmon,2020,0.9945
OtsPBT21-LWSFa,Little White Salmon,2021,0.9887
OtsPBT22-LWSFa,Little White Salmon,2022,0.976
OtsPBT23-LWSFa,Little White Salmon,2023,0.9943
OtsPBT17-PRHFa,Priest Rapids,2017,0.9095
OtsPBT18-PRHFa,Priest Rapids,2018,0.8617
OtsPBT19-PRHFa,Priest Rapids,2019,0.9615
OtsPBT21-PRHFa,Priest Rapids,2021,0.673
OtsPBT22-PRHFa,Priest Rapids,2022,0.9851
OtsPBT18-ProsserFa,Prosser,2018,0.8668
OtsPBT19-ProsserFa,Prosser,2019,0.41466
OtsPBT22-ProsserFa,Prosser,2022,0.8888
OtsPBT17-RSHFa,Ringold Springs,2017,0.9340
OtsPBT18-RSHFa,Ringold Springs,2018,0.8320
OtsPBT19-RSHFa,Ringold Springs,2019,0.9602
OtsPBT20-RSHFa,Ringold Springs,2020,0.9201
OtsPBT21-RSHFa,Ringold Springs,2021,0.7621
OtsPBT22-RSHFa,Ringold Springs,2022,0.4799
OtsPBT19-WellsSu,Wells Hatchery Su,2019,1
OtsWellsSuPBT19Y,Wells Hatchery Su,2019,1
OtsPBT18-UmaFa,Umatilla,2018,0.9573
OtsPBT19-UmaFa,Umatilla,2019,1
OtsPBT20-UmaFa,Umatilla,2020,0.8908
OtsPBT21-UmaFa,Umatilla,2021,0.7975
OtsPBT23-UmaFa,Umatilla,2023,1
