TAGCODE as text,Release Year,Age,Brood Year,Release site,rel timing,rel loc rel to LGR,Begin Release,adult origin,AD+CWT+VIE at release,Number AD+CWT at release,AD+VIE at release,Adipose Only at release,CWT+VIE at release,CWT Only at release,BWT Only at release,BRAND ONLY at release,BWT +BRAND at release,VIE Only at release, Unmarked Untagged at release , Total Released at release , total WIRES at release , Total Adclips with wires at release , Total AD clips released wire and no wire , Estimated fallback rate ,% CWT at release,expected % AD cwt assoc,exp % no clip assoc (unmark/untag),% unm/untag at release (ignore PIT tags),% AD clipped
blank,,,1900,blank wire,,blw,,agency wire,,,,,,,,,,,, 1 ,1, -   , -   ,,1.00,0.00,0.00,0%,0.00 
09blank,,,1900,Agency wire,,blw,,agency wire,,,,,,,,,,,, 2 ,2, -   , -   ,,1.00,0.00,0.00,0%,0.00 
63blank,,,1900,Agency wire,,blw,,agency wire,,,,,,,,,,,, 3 ,3, -   , -   ,,1.00,,,,0.00 
636737,2014,subyearling,2013,LFH,acclimated,blw,6/3/14,SR hatchery,,"203,004",,"5,896",,402,,,,,670," 209,972 ","203,406"," 203,004 "," 208,900 ",,0.97,0.90,0.10,0%,0.99 
220342,2014,subyearling,2013,BCA,acclimated,abv,5/22/14,SR hatchery,,,,,,"98,628",,,,,"324,660"," 423,288 ","98,628", -   , -   ,,0.23,0.00,1.00,77%,0.00 
220345,2014,subyearling,2013,BCA,acclimated,abv,5/22/14,SR hatchery,,"94,950",,"7,588",,,,,,,," 102,538 ","94,950"," 94,950 "," 102,538 ",,0.93,1.00,0.00,0%,1.00 
220343,2014,subyearling,2013,CJA,acclimated,abv,5/21/14,SR hatchery,,,,,,"99,142",,,,,"308,643"," 407,785 ","99,142", -   , -   ,,0.24,0.00,1.00,76%,0.00 
220346,2014,subyearling,2013,CJA,acclimated,abv,5/21/14,SR hatchery,,"101,241",,"2,801",,,,,,,," 104,042 ","101,241"," 101,241 "," 104,042 ",,0.97,1.00,0.00,0%,1.00 
636738,2014,subyearling,2013,CJA,acclimated,abv,6/6/14,SR hatchery,,"185,799",,"5,352",,,,,,,," 191,151 ","185,799"," 185,799 "," 191,151 ",,0.97,1.00,0.00,0%,1.00 
636739,2014,subyearling,2013,GRR,acclimated,abv,5/21/14,SR hatchery,,"191,711",,"9,983",,434,,,,,"201,798"," 403,926 ","192,145"," 191,711 "," 201,694 ",,0.48,0.05,0.95,50%,0.50 
220240,2014,subyearling,2013,NLVA,acclimated,abv,5/22/14,SR hatchery,,,,,,"202,383",,,,,"110,492"," 312,875 ","202,383", -   , -   ,,0.65,0.00,1.00,35%,0.00 
220238,2014,subyearling,2013,NLVA,acclimated,abv,5/22/14,SR hatchery,,"100,911",,"1,770",,,,,,,," 102,681 ","100,911"," 100,911 "," 102,681 ",,0.98,1.00,0.00,0%,1.00 
220239,2014,subyearling,2013,NPTH,acclimated,abv,6/11/14,SR hatchery,,,,,,"207,537",,,,,"215,099"," 422,636 ","207,537", -   , -   ,,0.49,0.00,1.00,51%,0.00 
220237,2014,subyearling,2013,NPTH,acclimated,abv,6/11/14,SR hatchery,,"102,898",,744,,,,,,,," 103,642 ","102,898"," 102,898 "," 103,642 ",,0.99,1.00,0.00,0%,1.00 
220235,2014,subyearling,2013,CFA,acclimated,abv,6/10/14,SR hatchery,,,,,,"99,344",,,,,"50,375"," 149,719 ","99,344", -   , -   ,,0.66,0.00,1.00,34%,0.00 
220233,2014,subyearling,2013,CFA,acclimated,abv,6/10/14,SR hatchery,,"102,430",,740,,,,,,,," 103,170 ","102,430"," 102,430 "," 103,170 ",,0.99,1.00,0.00,0%,1.00 
220236,2014,subyearling,2013,LGA,acclimated,abv,6/10/14,SR hatchery,,,,,,"103,285",,,,,"50,399"," 153,684 ","103,285", -   , -   ,,0.67,0.00,1.00,33%,0.00 
220234,2014,subyearling,2013,LGA,acclimated,abv,6/10/14,SR hatchery,,"100,870",,729,,,,,,,," 101,599 ","100,870"," 100,870 "," 101,599 ",,0.99,1.00,0.00,0%,1.00 
90818,2014,subyearling,2013,HC Dam,acclimated,abv,5/19/14 & 5/21/14,SR hatchery,,"191,092",,"717,974",,525,,,,,"2,023"," 911,614 ","191,617"," 191,092 "," 909,066 ",,0.21,1.00,0.00,0%,1.00 
220344,2014,subyearling,2013,PLA,acclimated,abv,,SR hatchery,,,,,,"99,455",,,,,1892," 101,347 ","99,455", -   , -   ,,0.98,0.00,1.00,2%,0.00 
220348,2015,yearling,2013,BCA,acclimated,abv,,SR hatchery,,,,,,"81,558",,,,,808," 82,366 ","81,558", -   , -   ,,0.99,0.00,1.00,1%,0.00 
220351,2015,yearling,2013,BCA,acclimated,abv,,SR hatchery,,72369,,145,,,,,,,," 72,514 ","72,369"," 72,369 "," 72,514 ",,1.00,1.00,0.00,0%,1.00 
220350,2015,yearling,2013,CJA,acclimated,abv,,SR hatchery,,,,,,"80,656",,,,,324," 80,980 ","80,656", -   , -   ,,1.00,0.00,1.00,0%,0.00 
220353,2015,yearling,2013,CJA,acclimated,abv,,SR hatchery,,72145,,,,,,,,,," 72,145 ","72,145"," 72,145 "," 72,145 ",,1.00,0.00,1.00,0%,1.00 
636740,2015,yearling,2013,LFH,acclimated,blw,,SR hatchery,,,,,,"221,507",,,,,3419," 224,926 ","221,507", -   , -   ,,0.98,0.00,1.00,2%,0.00 
636741,2015,yearling,2013,LFH,acclimated,blw,,SR hatchery,,218428,,7267,,1695,,,,,56," 227,446 ","220,123"," 218,428 "," 225,695 ",,0.97,0.99,0.01,0%,0.99 
220349,2015,yearling,2013,PLA,acclimated,abv,,SR hatchery,,,,,,"82,413",,,,,324," 82,737 ","82,413", -   , -   ,,1.00,0.00,1.00,0%,0.00 
220352,2015,yearling,2013,PLA,acclimated,abv,,SR hatchery,,72595,,144,,,,,,,," 72,739 ","72,595"," 72,595 "," 72,739 ",,1.00,1.00,0.00,0%,1.00 
90585,2012,subyearling,2011,UMA,,blw,,stray hatchery,,154611,,3640,,,,,,,4169," 162,420 ","154,611"," 154,611 "," 158,251 ",,0.95,0.47,0.53,3%,0.97 
90817,2014,yearling,2013,UMA,,blw,,stray hatchery,,163114,,1561,,0,,,,,154," 164,829 ","163,114"," 163,114 "," 164,675 ",,0.99,0.91,0.09,0%,1.00 
220347,2014,subyearling,2013,PLA,,abv,,SR hatchery,,100063,,1404,,0,,,,,198055," 299,522 ","100,063"," 100,063 "," 101,467 ",,0.33,0.01,0.99,66%,0.34 
90871,2015,yearling,2013,UMA,,blw,20150227,stray hatchery,,114305,,693,,462,,,,,," 115,460 ","114,767"," 114,305 "," 114,998 ",,0.99,1.00,0.00,0%,1.00 
90867,2015,yearling,2013,UMA,,blw,20150227,stray hatchery,,35491,,,,280,,,,,," 35,771 ","35,771"," 35,491 "," 35,491 ",,1.00,0.00,1.00,0%,0.99 
636676,2014,subyearling,2013,Klickitat,,blw,20140623,stray hatchery,,242914,,,,,,,,,," 242,914 ","242,914"," 242,914 "," 242,914 ",,1.00,0.00,1.00,0%,1.00 
90866,2015,yearling,2013,UMA,,blw,20150227,stray hatchery,,50191,,101,,202,,,,,," 50,494 ","50,393"," 50,191 "," 50,292 ",,1.00,1.00,0.00,0%,1.00 
220361,2016,yearling,2014,BCA,acclimated,abv,,SR hatchery,,0,,0,,80995,,,,,640," 81,635 ","80,995", -   , -   ,,0.99,0.00,1.00,1%,0.00 
220362,2016,yearling,2014,PLA,,abv,,SR hatchery,,0,,0,,81524,,,,,160," 81,684 ","81,524", -   , -   ,,1.00,0.00,1.00,0%,0.00 
220363,2016,yearling,2014,CJA,,abv,,SR hatchery,,0,,0,,91267,,,,,1394," 92,661 ","91,267", -   , -   ,,0.98,0.00,1.00,2%,0.00 
220364,2016,yearling,2014,CJA,,abv,,SR hatchery,,70821,,135,,0,,,,,1083," 72,039 ","70,821"," 70,821 "," 70,956 ",,0.98,0.11,0.89,2%,0.98 
220365,2016,yearling,2014,PLA,,abv,,SR hatchery,,70212,,1267,,0,,,,,421," 71,900 ","70,212"," 70,212 "," 71,479 ",,0.98,0.75,0.25,1%,0.99 
220366,2016,yearling,2014,BCA,acclimated,abv,,SR hatchery,,71112,,141,,0,,,,,563," 71,816 ","71,112"," 71,112 "," 71,253 ",,0.99,0.20,0.80,1%,0.99 
