ID,Population,Individual,LGRScaleGeneticsIDLink,DateSampled,PhenotypicSex,Length,Clip,Wire,PIT,Disposition,GenComments,GenSex,GenPa,GenMa,PopName,agePBT,GSIRepUnit,RepUnitProb,ReleaseGroup,Age,Origin,Rear,HaulTo,Pooled FL
65,OtsLGRF25S,OtsLGRF25S_0091,C-00091,18-Aug-25,M,62,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
86,OtsLGRF25S,OtsLGRF25S_0121,C-00121,18-Aug-25,F,80,AI,NA,3DD.0078ED675F,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,82
91,OtsLGRF25S,OtsLGRF25S_0131,C-00131,18-Aug-25,M,91,AI,NA,3DD.0078ED6768,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,92
128,OtsLGRF25S,OtsLGRF25S_0181,C-00181,19-Aug-25,F,78,AI,NA,3DD.0078ED709B,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,82
149,OtsLGRF25S,OtsLGRF25S_0211,C-00211,19-Aug-25,F,70,AI,NA,3DD.0078ED7096,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,LyonsFerryHatchery,72
174,OtsLGRF25S,OtsLGRF25S_0251,C-00251,19-Aug-25,M,83,AI,NA,3DD.0078ED7071,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,87
179,OtsLGRF25S,OtsLGRF25S_0261,C-00261,19-Aug-25,F,75,AI,NA,3DD.0078ED7099,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,77
188,OtsLGRF25S,OtsLGRF25S_0271,C-00271,19-Aug-25,M,68,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,1.2,H,RR,,72
264,OtsLGRF25S,OtsLGRF25S_0401,C-00401,20-Aug-25,M,77,AI,NA,3DD.0078ED66C8,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.3,,,,77
275,OtsLGRF25S,OtsLGRF25S_0421,C-00421,21-Aug-25,M,70,AI,NA,3DD.0078ED7123,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,72
